purchase_date;total_sales;promo_name;sales_after_promo
19/07/2022;450000;10_10;442500
19/07/2022;450000;HARBOLNAS;420000
19/07/2022;450000;END_YEAR;435000
19/07/2022;450000;BERKAH_RAMADHAN;435000
19/07/2022;450000;HARI_RAYA;430000
19/07/2022;450000;TUJUHBELASAN;440000
19/07/2022;450000;VALENTINE_DAY;440000
19/07/2022;450000;EASTER_EGG;442500
19/07/2022;450000;CHRISTMAS;435000
28/07/2022;299999;AWAL_GAJIAN;284999
28/07/2022;299999;GRATIS_ONGKIR;294999
28/07/2022;299999;10_10;292499
28/07/2022;299999;HARBOLNAS;269999
28/07/2022;299999;END_YEAR;284999
28/07/2022;299999;BERKAH_RAMADHAN;284999
28/07/2022;299999;HARI_RAYA;279999
28/07/2022;299999;TUJUHBELASAN;289999
28/07/2022;299999;VALENTINE_DAY;289999
28/07/2022;299999;EASTER_EGG;292499
28/07/2022;299999;CHRISTMAS;284999
23/07/2022;217500;AWAL_GAJIAN;202500
23/07/2022;217500;GRATIS_ONGKIR;212500
23/07/2022;217500;10_10;210000
23/07/2022;217500;HARBOLNAS;187500
23/07/2022;217500;END_YEAR;202500
23/07/2022;217500;BERKAH_RAMADHAN;202500
23/07/2022;217500;HARI_RAYA;197500
23/07/2022;217500;TUJUHBELASAN;207500
23/07/2022;217500;VALENTINE_DAY;207500
23/07/2022;217500;EASTER_EGG;210000
23/07/2022;217500;CHRISTMAS;202500
27/07/2022;360000;AWAL_GAJIAN;345000
27/07/2022;360000;GRATIS_ONGKIR;355000
27/07/2022;360000;10_10;352500
27/07/2022;360000;HARBOLNAS;330000
27/07/2022;360000;END_YEAR;345000
27/07/2022;360000;BERKAH_RAMADHAN;345000
27/07/2022;360000;HARI_RAYA;340000
27/07/2022;360000;TUJUHBELASAN;350000
27/07/2022;360000;VALENTINE_DAY;350000
27/07/2022;360000;EASTER_EGG;352500
27/07/2022;360000;CHRISTMAS;345000
18/07/2022;138000;AWAL_GAJIAN;123000
18/07/2022;138000;GRATIS_ONGKIR;133000
18/07/2022;138000;10_10;130500
18/07/2022;138000;HARBOLNAS;108000
18/07/2022;138000;END_YEAR;123000
18/07/2022;138000;BERKAH_RAMADHAN;123000
18/07/2022;138000;HARI_RAYA;118000
18/07/2022;138000;TUJUHBELASAN;128000
18/07/2022;138000;VALENTINE_DAY;128000
18/07/2022;138000;EASTER_EGG;130500
18/07/2022;138000;CHRISTMAS;123000
29/07/2022;538850;AWAL_GAJIAN;523850
29/07/2022;538850;GRATIS_ONGKIR;533850
29/07/2022;538850;10_10;531350
29/07/2022;538850;HARBOLNAS;508850
29/07/2022;538850;END_YEAR;523850
29/07/2022;538850;BERKAH_RAMADHAN;523850
29/07/2022;538850;HARI_RAYA;518850
29/07/2022;538850;TUJUHBELASAN;528850
29/07/2022;538850;VALENTINE_DAY;528850
29/07/2022;538850;EASTER_EGG;531350
29/07/2022;538850;CHRISTMAS;523850
30/07/2022;17244;AWAL_GAJIAN;2244
30/07/2022;17244;GRATIS_ONGKIR;12244
30/07/2022;17244;10_10;9744
30/07/2022;17244;HARBOLNAS;-12756
30/07/2022;17244;END_YEAR;2244
30/07/2022;17244;BERKAH_RAMADHAN;2244
30/07/2022;17244;HARI_RAYA;-2756
30/07/2022;17244;TUJUHBELASAN;7244
30/07/2022;17244;VALENTINE_DAY;7244
30/07/2022;17244;EASTER_EGG;9744
30/07/2022;17244;CHRISTMAS;2244
28/07/2022;130000;AWAL_GAJIAN;115000
28/07/2022;130000;GRATIS_ONGKIR;125000
28/07/2022;130000;10_10;122500
28/07/2022;130000;HARBOLNAS;100000
28/07/2022;130000;END_YEAR;115000
28/07/2022;130000;BERKAH_RAMADHAN;115000
28/07/2022;130000;HARI_RAYA;110000
28/07/2022;130000;TUJUHBELASAN;120000
28/07/2022;130000;VALENTINE_DAY;120000
28/07/2022;130000;EASTER_EGG;122500
28/07/2022;130000;CHRISTMAS;115000
09/07/2022;116000;AWAL_GAJIAN;101000
09/07/2022;116000;GRATIS_ONGKIR;111000
09/07/2022;116000;10_10;108500
09/07/2022;116000;HARBOLNAS;86000
09/07/2022;116000;END_YEAR;101000
09/07/2022;116000;BERKAH_RAMADHAN;101000
09/07/2022;116000;HARI_RAYA;96000
09/07/2022;116000;TUJUHBELASAN;106000
09/07/2022;116000;VALENTINE_DAY;106000
09/07/2022;116000;EASTER_EGG;108500
09/07/2022;116000;CHRISTMAS;101000
05/07/2022;485997;AWAL_GAJIAN;470997
05/07/2022;485997;GRATIS_ONGKIR;480997
05/07/2022;485997;10_10;478497
05/07/2022;485997;HARBOLNAS;455997
05/07/2022;485997;END_YEAR;470997
05/07/2022;485997;BERKAH_RAMADHAN;470997
05/07/2022;485997;HARI_RAYA;465997
05/07/2022;485997;TUJUHBELASAN;475997
05/07/2022;485997;VALENTINE_DAY;475997
05/07/2022;485997;EASTER_EGG;478497
05/07/2022;485997;CHRISTMAS;470997
22/07/2022;269425;AWAL_GAJIAN;254425
22/07/2022;269425;GRATIS_ONGKIR;264425
22/07/2022;269425;10_10;261925
22/07/2022;269425;HARBOLNAS;239425
22/07/2022;269425;END_YEAR;254425
22/07/2022;269425;BERKAH_RAMADHAN;254425
22/07/2022;269425;HARI_RAYA;249425
22/07/2022;269425;TUJUHBELASAN;259425
22/07/2022;269425;VALENTINE_DAY;259425
22/07/2022;269425;EASTER_EGG;261925
22/07/2022;269425;CHRISTMAS;254425
05/07/2022;119600;AWAL_GAJIAN;104600
05/07/2022;119600;GRATIS_ONGKIR;114600
05/07/2022;119600;10_10;112100
05/07/2022;119600;HARBOLNAS;89600
05/07/2022;119600;END_YEAR;104600
05/07/2022;119600;BERKAH_RAMADHAN;104600
05/07/2022;119600;HARI_RAYA;99600
05/07/2022;119600;TUJUHBELASAN;109600
05/07/2022;119600;VALENTINE_DAY;109600
05/07/2022;119600;EASTER_EGG;112100
05/07/2022;119600;CHRISTMAS;104600
14/07/2022;188000;AWAL_GAJIAN;173000
14/07/2022;188000;GRATIS_ONGKIR;183000
14/07/2022;188000;10_10;180500
14/07/2022;188000;HARBOLNAS;158000
14/07/2022;188000;END_YEAR;173000
14/07/2022;188000;BERKAH_RAMADHAN;173000
14/07/2022;188000;HARI_RAYA;168000
14/07/2022;188000;TUJUHBELASAN;178000
14/07/2022;188000;VALENTINE_DAY;178000
14/07/2022;188000;EASTER_EGG;180500
14/07/2022;188000;CHRISTMAS;173000
19/07/2022;32000;AWAL_GAJIAN;17000
19/07/2022;32000;GRATIS_ONGKIR;27000
19/07/2022;32000;10_10;24500
19/07/2022;32000;HARBOLNAS;2000
19/07/2022;32000;END_YEAR;17000
19/07/2022;32000;BERKAH_RAMADHAN;17000
19/07/2022;32000;HARI_RAYA;12000
19/07/2022;32000;TUJUHBELASAN;22000
19/07/2022;32000;VALENTINE_DAY;22000
19/07/2022;32000;EASTER_EGG;24500
19/07/2022;32000;CHRISTMAS;17000
30/07/2022;207000;AWAL_GAJIAN;192000
30/07/2022;207000;GRATIS_ONGKIR;202000
30/07/2022;207000;10_10;199500
30/07/2022;207000;HARBOLNAS;177000
30/07/2022;207000;END_YEAR;192000
30/07/2022;207000;BERKAH_RAMADHAN;192000
30/07/2022;207000;HARI_RAYA;187000
30/07/2022;207000;TUJUHBELASAN;197000
30/07/2022;207000;VALENTINE_DAY;197000
30/07/2022;207000;EASTER_EGG;199500
30/07/2022;207000;CHRISTMAS;192000
20/07/2022;149600;AWAL_GAJIAN;134600
20/07/2022;149600;GRATIS_ONGKIR;144600
20/07/2022;149600;10_10;142100
20/07/2022;149600;HARBOLNAS;119600
20/07/2022;149600;END_YEAR;134600
20/07/2022;149600;BERKAH_RAMADHAN;134600
20/07/2022;149600;HARI_RAYA;129600
20/07/2022;149600;TUJUHBELASAN;139600
20/07/2022;149600;VALENTINE_DAY;139600
20/07/2022;149600;EASTER_EGG;142100
20/07/2022;149600;CHRISTMAS;134600
08/07/2022;110000;AWAL_GAJIAN;95000
08/07/2022;110000;GRATIS_ONGKIR;105000
08/07/2022;110000;10_10;102500
08/07/2022;110000;HARBOLNAS;80000
08/07/2022;110000;END_YEAR;95000
08/07/2022;110000;BERKAH_RAMADHAN;95000
08/07/2022;110000;HARI_RAYA;90000
08/07/2022;110000;TUJUHBELASAN;100000
08/07/2022;110000;VALENTINE_DAY;100000
08/07/2022;110000;EASTER_EGG;102500
08/07/2022;110000;CHRISTMAS;95000
09/07/2022;53776;AWAL_GAJIAN;38776
09/07/2022;53776;GRATIS_ONGKIR;48776
09/07/2022;53776;10_10;46276
09/07/2022;53776;HARBOLNAS;23776
09/07/2022;53776;END_YEAR;38776
09/07/2022;53776;BERKAH_RAMADHAN;38776
09/07/2022;53776;HARI_RAYA;33776
09/07/2022;53776;TUJUHBELASAN;43776
09/07/2022;53776;VALENTINE_DAY;43776
09/07/2022;53776;EASTER_EGG;46276
09/07/2022;53776;CHRISTMAS;38776
17/07/2022;159000;AWAL_GAJIAN;144000
17/07/2022;159000;GRATIS_ONGKIR;154000
17/07/2022;159000;10_10;151500
17/07/2022;159000;HARBOLNAS;129000
17/07/2022;159000;END_YEAR;144000
17/07/2022;159000;BERKAH_RAMADHAN;144000
17/07/2022;159000;HARI_RAYA;139000
17/07/2022;159000;TUJUHBELASAN;149000
17/07/2022;159000;VALENTINE_DAY;149000
17/07/2022;159000;EASTER_EGG;151500
17/07/2022;159000;CHRISTMAS;144000
12/07/2022;55000;AWAL_GAJIAN;40000
12/07/2022;55000;GRATIS_ONGKIR;50000
12/07/2022;55000;10_10;47500
12/07/2022;55000;HARBOLNAS;25000
12/07/2022;55000;END_YEAR;40000
12/07/2022;55000;BERKAH_RAMADHAN;40000
12/07/2022;55000;HARI_RAYA;35000
12/07/2022;55000;TUJUHBELASAN;45000
12/07/2022;55000;VALENTINE_DAY;45000
12/07/2022;55000;EASTER_EGG;47500
12/07/2022;55000;CHRISTMAS;40000
20/07/2022;260000;AWAL_GAJIAN;245000
20/07/2022;260000;GRATIS_ONGKIR;255000
20/07/2022;260000;10_10;252500
20/07/2022;260000;HARBOLNAS;230000
20/07/2022;260000;END_YEAR;245000
20/07/2022;260000;BERKAH_RAMADHAN;245000
20/07/2022;260000;HARI_RAYA;240000
20/07/2022;260000;TUJUHBELASAN;250000
20/07/2022;260000;VALENTINE_DAY;250000
20/07/2022;260000;EASTER_EGG;252500
20/07/2022;260000;CHRISTMAS;245000
04/07/2022;104000;AWAL_GAJIAN;89000
04/07/2022;104000;GRATIS_ONGKIR;99000
04/07/2022;104000;10_10;96500
04/07/2022;104000;HARBOLNAS;74000
04/07/2022;104000;END_YEAR;89000
04/07/2022;104000;BERKAH_RAMADHAN;89000
04/07/2022;104000;HARI_RAYA;84000
04/07/2022;104000;TUJUHBELASAN;94000
04/07/2022;104000;VALENTINE_DAY;94000
04/07/2022;104000;EASTER_EGG;96500
04/07/2022;104000;CHRISTMAS;89000
14/07/2022;2025000;AWAL_GAJIAN;2010000
14/07/2022;2025000;GRATIS_ONGKIR;2020000
14/07/2022;2025000;10_10;2017500
14/07/2022;2025000;HARBOLNAS;1995000
14/07/2022;2025000;END_YEAR;2010000
14/07/2022;2025000;BERKAH_RAMADHAN;2010000
14/07/2022;2025000;HARI_RAYA;2005000
14/07/2022;2025000;TUJUHBELASAN;2015000
14/07/2022;2025000;VALENTINE_DAY;2015000
14/07/2022;2025000;EASTER_EGG;2017500
14/07/2022;2025000;CHRISTMAS;2010000
22/07/2022;179400;AWAL_GAJIAN;164400
22/07/2022;179400;GRATIS_ONGKIR;174400
22/07/2022;179400;10_10;171900
22/07/2022;179400;HARBOLNAS;149400
22/07/2022;179400;END_YEAR;164400
22/07/2022;179400;BERKAH_RAMADHAN;164400
22/07/2022;179400;HARI_RAYA;159400
22/07/2022;179400;TUJUHBELASAN;169400
22/07/2022;179400;VALENTINE_DAY;169400
22/07/2022;179400;EASTER_EGG;171900
22/07/2022;179400;CHRISTMAS;164400
11/07/2022;68888;AWAL_GAJIAN;53888
11/07/2022;68888;GRATIS_ONGKIR;63888
11/07/2022;68888;10_10;61388
11/07/2022;68888;HARBOLNAS;38888
11/07/2022;68888;END_YEAR;53888
11/07/2022;68888;BERKAH_RAMADHAN;53888
11/07/2022;68888;HARI_RAYA;48888
11/07/2022;68888;TUJUHBELASAN;58888
11/07/2022;68888;VALENTINE_DAY;58888
11/07/2022;68888;EASTER_EGG;61388
11/07/2022;68888;CHRISTMAS;53888
14/07/2022;1439000;AWAL_GAJIAN;1424000
14/07/2022;1439000;GRATIS_ONGKIR;1434000
14/07/2022;1439000;10_10;1431500
14/07/2022;1439000;HARBOLNAS;1409000
14/07/2022;1439000;END_YEAR;1424000
14/07/2022;1439000;BERKAH_RAMADHAN;1424000
14/07/2022;1439000;HARI_RAYA;1419000
14/07/2022;1439000;TUJUHBELASAN;1429000
14/07/2022;1439000;VALENTINE_DAY;1429000
14/07/2022;1439000;EASTER_EGG;1431500
14/07/2022;1439000;CHRISTMAS;1424000
16/07/2022;25000;AWAL_GAJIAN;10000
16/07/2022;25000;GRATIS_ONGKIR;20000
16/07/2022;25000;10_10;17500
16/07/2022;25000;HARBOLNAS;-5000
16/07/2022;25000;END_YEAR;10000
16/07/2022;25000;BERKAH_RAMADHAN;10000
16/07/2022;25000;HARI_RAYA;5000
16/07/2022;25000;TUJUHBELASAN;15000
16/07/2022;25000;VALENTINE_DAY;15000
16/07/2022;25000;EASTER_EGG;17500
16/07/2022;25000;CHRISTMAS;10000
10/07/2022;66686;AWAL_GAJIAN;51686
10/07/2022;66686;GRATIS_ONGKIR;61686
10/07/2022;66686;10_10;59186
10/07/2022;66686;HARBOLNAS;36686
10/07/2022;66686;END_YEAR;51686
10/07/2022;66686;BERKAH_RAMADHAN;51686
10/07/2022;66686;HARI_RAYA;46686
10/07/2022;66686;TUJUHBELASAN;56686
10/07/2022;66686;VALENTINE_DAY;56686
10/07/2022;66686;EASTER_EGG;59186
10/07/2022;66686;CHRISTMAS;51686
21/07/2022;90000;AWAL_GAJIAN;75000
21/07/2022;90000;GRATIS_ONGKIR;85000
21/07/2022;90000;10_10;82500
21/07/2022;90000;HARBOLNAS;60000
21/07/2022;90000;END_YEAR;75000
21/07/2022;90000;BERKAH_RAMADHAN;75000
21/07/2022;90000;HARI_RAYA;70000
21/07/2022;90000;TUJUHBELASAN;80000
21/07/2022;90000;VALENTINE_DAY;80000
21/07/2022;90000;EASTER_EGG;82500
21/07/2022;90000;CHRISTMAS;75000
06/07/2022;162500;AWAL_GAJIAN;147500
06/07/2022;162500;GRATIS_ONGKIR;157500
06/07/2022;162500;10_10;155000
06/07/2022;162500;HARBOLNAS;132500
06/07/2022;162500;END_YEAR;147500
06/07/2022;162500;BERKAH_RAMADHAN;147500
06/07/2022;162500;HARI_RAYA;142500
06/07/2022;162500;TUJUHBELASAN;152500
06/07/2022;162500;VALENTINE_DAY;152500
06/07/2022;162500;EASTER_EGG;155000
06/07/2022;162500;CHRISTMAS;147500
01/07/2022;1670;AWAL_GAJIAN;-13330
01/07/2022;1670;GRATIS_ONGKIR;-3330
01/07/2022;1670;10_10;-5830
01/07/2022;1670;HARBOLNAS;-28330
01/07/2022;1670;END_YEAR;-13330
01/07/2022;1670;BERKAH_RAMADHAN;-13330
01/07/2022;1670;HARI_RAYA;-18330
01/07/2022;1670;TUJUHBELASAN;-8330
01/07/2022;1670;VALENTINE_DAY;-8330
01/07/2022;1670;EASTER_EGG;-5830
01/07/2022;1670;CHRISTMAS;-13330
29/07/2022;99000;AWAL_GAJIAN;84000
29/07/2022;99000;GRATIS_ONGKIR;94000
29/07/2022;99000;10_10;91500
29/07/2022;99000;HARBOLNAS;69000
29/07/2022;99000;END_YEAR;84000
29/07/2022;99000;BERKAH_RAMADHAN;84000
29/07/2022;99000;HARI_RAYA;79000
29/07/2022;99000;TUJUHBELASAN;89000
29/07/2022;99000;VALENTINE_DAY;89000
29/07/2022;99000;EASTER_EGG;91500
29/07/2022;99000;CHRISTMAS;84000
09/07/2022;197500;AWAL_GAJIAN;182500
09/07/2022;197500;GRATIS_ONGKIR;192500
09/07/2022;197500;10_10;190000
09/07/2022;197500;HARBOLNAS;167500
09/07/2022;197500;END_YEAR;182500
09/07/2022;197500;BERKAH_RAMADHAN;182500
09/07/2022;197500;HARI_RAYA;177500
09/07/2022;197500;TUJUHBELASAN;187500
09/07/2022;197500;VALENTINE_DAY;187500
09/07/2022;197500;EASTER_EGG;190000
09/07/2022;197500;CHRISTMAS;182500
06/07/2022;25500;AWAL_GAJIAN;10500
06/07/2022;25500;GRATIS_ONGKIR;20500
06/07/2022;25500;10_10;18000
06/07/2022;25500;HARBOLNAS;-4500
06/07/2022;25500;END_YEAR;10500
06/07/2022;25500;BERKAH_RAMADHAN;10500
06/07/2022;25500;HARI_RAYA;5500
06/07/2022;25500;TUJUHBELASAN;15500
06/07/2022;25500;VALENTINE_DAY;15500
06/07/2022;25500;EASTER_EGG;18000
06/07/2022;25500;CHRISTMAS;10500
10/07/2022;122052;AWAL_GAJIAN;107052
10/07/2022;122052;GRATIS_ONGKIR;117052
10/07/2022;122052;10_10;114552
10/07/2022;122052;HARBOLNAS;92052
10/07/2022;122052;END_YEAR;107052
10/07/2022;122052;BERKAH_RAMADHAN;107052
10/07/2022;122052;HARI_RAYA;102052
10/07/2022;122052;TUJUHBELASAN;112052
10/07/2022;122052;VALENTINE_DAY;112052
10/07/2022;122052;EASTER_EGG;114552
10/07/2022;122052;CHRISTMAS;107052
21/07/2022;21500;AWAL_GAJIAN;6500
21/07/2022;21500;GRATIS_ONGKIR;16500
21/07/2022;21500;10_10;14000
21/07/2022;21500;HARBOLNAS;-8500
21/07/2022;21500;END_YEAR;6500
21/07/2022;21500;BERKAH_RAMADHAN;6500
21/07/2022;21500;HARI_RAYA;1500
21/07/2022;21500;TUJUHBELASAN;11500
21/07/2022;21500;VALENTINE_DAY;11500
21/07/2022;21500;EASTER_EGG;14000
21/07/2022;21500;CHRISTMAS;6500
24/07/2022;130000;AWAL_GAJIAN;115000
24/07/2022;130000;GRATIS_ONGKIR;125000
24/07/2022;130000;10_10;122500
24/07/2022;130000;HARBOLNAS;100000
24/07/2022;130000;END_YEAR;115000
24/07/2022;130000;BERKAH_RAMADHAN;115000
24/07/2022;130000;HARI_RAYA;110000
24/07/2022;130000;TUJUHBELASAN;120000
24/07/2022;130000;VALENTINE_DAY;120000
24/07/2022;130000;EASTER_EGG;122500
24/07/2022;130000;CHRISTMAS;115000
09/07/2022;120000;AWAL_GAJIAN;105000
09/07/2022;120000;GRATIS_ONGKIR;115000
09/07/2022;120000;10_10;112500
09/07/2022;120000;HARBOLNAS;90000
09/07/2022;120000;END_YEAR;105000
09/07/2022;120000;BERKAH_RAMADHAN;105000
09/07/2022;120000;HARI_RAYA;100000
09/07/2022;120000;TUJUHBELASAN;110000
09/07/2022;120000;VALENTINE_DAY;110000
09/07/2022;120000;EASTER_EGG;112500
09/07/2022;120000;CHRISTMAS;105000
08/07/2022;202710;AWAL_GAJIAN;187710
08/07/2022;202710;GRATIS_ONGKIR;197710
08/07/2022;202710;10_10;195210
08/07/2022;202710;HARBOLNAS;172710
08/07/2022;202710;END_YEAR;187710
08/07/2022;202710;BERKAH_RAMADHAN;187710
08/07/2022;202710;HARI_RAYA;182710
08/07/2022;202710;TUJUHBELASAN;192710
08/07/2022;202710;VALENTINE_DAY;192710
08/07/2022;202710;EASTER_EGG;195210
08/07/2022;202710;CHRISTMAS;187710
21/07/2022;291000;AWAL_GAJIAN;276000
21/07/2022;291000;GRATIS_ONGKIR;286000
21/07/2022;291000;10_10;283500
21/07/2022;291000;HARBOLNAS;261000
21/07/2022;291000;END_YEAR;276000
21/07/2022;291000;BERKAH_RAMADHAN;276000
21/07/2022;291000;HARI_RAYA;271000
21/07/2022;291000;TUJUHBELASAN;281000
21/07/2022;291000;VALENTINE_DAY;281000
21/07/2022;291000;EASTER_EGG;283500
21/07/2022;291000;CHRISTMAS;276000
07/07/2022;142000;AWAL_GAJIAN;127000
07/07/2022;142000;GRATIS_ONGKIR;137000
07/07/2022;142000;10_10;134500
07/07/2022;142000;HARBOLNAS;112000
07/07/2022;142000;END_YEAR;127000
07/07/2022;142000;BERKAH_RAMADHAN;127000
07/07/2022;142000;HARI_RAYA;122000
07/07/2022;142000;TUJUHBELASAN;132000
07/07/2022;142000;VALENTINE_DAY;132000
07/07/2022;142000;EASTER_EGG;134500
07/07/2022;142000;CHRISTMAS;127000
02/07/2022;239700;AWAL_GAJIAN;224700
02/07/2022;239700;GRATIS_ONGKIR;234700
02/07/2022;239700;10_10;232200
02/07/2022;239700;HARBOLNAS;209700
02/07/2022;239700;END_YEAR;224700
02/07/2022;239700;BERKAH_RAMADHAN;224700
02/07/2022;239700;HARI_RAYA;219700
02/07/2022;239700;TUJUHBELASAN;229700
02/07/2022;239700;VALENTINE_DAY;229700
02/07/2022;239700;EASTER_EGG;232200
02/07/2022;239700;CHRISTMAS;224700
11/07/2022;124900;AWAL_GAJIAN;109900
11/07/2022;124900;GRATIS_ONGKIR;119900
11/07/2022;124900;10_10;117400
11/07/2022;124900;HARBOLNAS;94900
11/07/2022;124900;END_YEAR;109900
11/07/2022;124900;BERKAH_RAMADHAN;109900
11/07/2022;124900;HARI_RAYA;104900
11/07/2022;124900;TUJUHBELASAN;114900
11/07/2022;124900;VALENTINE_DAY;114900
11/07/2022;124900;EASTER_EGG;117400
11/07/2022;124900;CHRISTMAS;109900
19/07/2022;415000;AWAL_GAJIAN;400000
19/07/2022;415000;GRATIS_ONGKIR;410000
19/07/2022;415000;10_10;407500
19/07/2022;415000;HARBOLNAS;385000
19/07/2022;415000;END_YEAR;400000
19/07/2022;415000;BERKAH_RAMADHAN;400000
19/07/2022;415000;HARI_RAYA;395000
19/07/2022;415000;TUJUHBELASAN;405000
19/07/2022;415000;VALENTINE_DAY;405000
19/07/2022;415000;EASTER_EGG;407500
19/07/2022;415000;CHRISTMAS;400000
10/07/2022;228000;AWAL_GAJIAN;213000
10/07/2022;228000;GRATIS_ONGKIR;223000
10/07/2022;228000;10_10;220500
10/07/2022;228000;HARBOLNAS;198000
10/07/2022;228000;END_YEAR;213000
10/07/2022;228000;BERKAH_RAMADHAN;213000
10/07/2022;228000;HARI_RAYA;208000
10/07/2022;228000;TUJUHBELASAN;218000
10/07/2022;228000;VALENTINE_DAY;218000
10/07/2022;228000;EASTER_EGG;220500
10/07/2022;228000;CHRISTMAS;213000
20/07/2022;240500;AWAL_GAJIAN;225500
20/07/2022;240500;GRATIS_ONGKIR;235500
20/07/2022;240500;10_10;233000
20/07/2022;240500;HARBOLNAS;210500
20/07/2022;240500;END_YEAR;225500
20/07/2022;240500;BERKAH_RAMADHAN;225500
20/07/2022;240500;HARI_RAYA;220500
20/07/2022;240500;TUJUHBELASAN;230500
20/07/2022;240500;VALENTINE_DAY;230500
20/07/2022;240500;EASTER_EGG;233000
20/07/2022;240500;CHRISTMAS;225500
01/07/2022;192000;AWAL_GAJIAN;177000
01/07/2022;192000;GRATIS_ONGKIR;187000
01/07/2022;192000;10_10;184500
01/07/2022;192000;HARBOLNAS;162000
01/07/2022;192000;END_YEAR;177000
01/07/2022;192000;BERKAH_RAMADHAN;177000
01/07/2022;192000;HARI_RAYA;172000
01/07/2022;192000;TUJUHBELASAN;182000
01/07/2022;192000;VALENTINE_DAY;182000
01/07/2022;192000;EASTER_EGG;184500
01/07/2022;192000;CHRISTMAS;177000
13/07/2022;50000;AWAL_GAJIAN;35000
13/07/2022;50000;GRATIS_ONGKIR;45000
13/07/2022;50000;10_10;42500
13/07/2022;50000;HARBOLNAS;20000
13/07/2022;50000;END_YEAR;35000
13/07/2022;50000;BERKAH_RAMADHAN;35000
13/07/2022;50000;HARI_RAYA;30000
13/07/2022;50000;TUJUHBELASAN;40000
13/07/2022;50000;VALENTINE_DAY;40000
13/07/2022;50000;EASTER_EGG;42500
13/07/2022;50000;CHRISTMAS;35000
13/07/2022;36800;AWAL_GAJIAN;21800
13/07/2022;36800;GRATIS_ONGKIR;31800
13/07/2022;36800;10_10;29300
13/07/2022;36800;HARBOLNAS;6800
13/07/2022;36800;END_YEAR;21800
13/07/2022;36800;BERKAH_RAMADHAN;21800
13/07/2022;36800;HARI_RAYA;16800
13/07/2022;36800;TUJUHBELASAN;26800
13/07/2022;36800;VALENTINE_DAY;26800
13/07/2022;36800;EASTER_EGG;29300
13/07/2022;36800;CHRISTMAS;21800
05/07/2022;95800;AWAL_GAJIAN;80800
05/07/2022;95800;GRATIS_ONGKIR;90800
05/07/2022;95800;10_10;88300
05/07/2022;95800;HARBOLNAS;65800
05/07/2022;95800;END_YEAR;80800
05/07/2022;95800;BERKAH_RAMADHAN;80800
05/07/2022;95800;HARI_RAYA;75800
05/07/2022;95800;TUJUHBELASAN;85800
05/07/2022;95800;VALENTINE_DAY;85800
05/07/2022;95800;EASTER_EGG;88300
05/07/2022;95800;CHRISTMAS;80800
25/07/2022;299700;AWAL_GAJIAN;284700
25/07/2022;299700;GRATIS_ONGKIR;294700
25/07/2022;299700;10_10;292200
25/07/2022;299700;HARBOLNAS;269700
25/07/2022;299700;END_YEAR;284700
25/07/2022;299700;BERKAH_RAMADHAN;284700
25/07/2022;299700;HARI_RAYA;279700
25/07/2022;299700;TUJUHBELASAN;289700
25/07/2022;299700;VALENTINE_DAY;289700
25/07/2022;299700;EASTER_EGG;292200
25/07/2022;299700;CHRISTMAS;284700
12/07/2022;9900;AWAL_GAJIAN;-5100
12/07/2022;9900;GRATIS_ONGKIR;4900
12/07/2022;9900;10_10;2400
